province_name,confirmed,hdi,area_km2,population,country,population_density,percent_of_urban_pop,infant_mortality_per_thousands,percent_pop_using_drinkable_water_urban,percent_pop_using_drinkable_water_rural,avg_life_expectancy,amt_health_per_person,hdi_country
Iceland,1802,0.935,102775.0,364134.0,Iceland,3.543021163,94.1,1.6,98.7,100.0,82.2,4457.970149,0.935
Abruzzo,3178,0.884,10796.0,1311580.0,Italy,121.48758799999999,69.0,3.0,99.5,99.6,82.3,2823.203504,0.883
Andalusia,12420,0.862,87268.0,8414240.0,Spain,96.41838933,79.6,2.9,99.8,100.0,82.45,2316.2175859999998,0.893
Anhui,991,0.7240000000000001,139700.0,59500510.0,China,425.91632069999997,55.6,11.6,86.6,63.7,75.7,435.4081114,0.758
Aragon,5456,0.898,47719.0,1319291.0,Spain,27.64707978,79.6,2.9,99.8,100.0,82.45,2316.2175859999998,0.893
Asturias,2366,0.887,10604.0,1022800.0,Spain,96.45416824,79.6,2.9,99.8,100.0,82.45,2316.2175859999998,0.893
Australian Capital Territory,107,0.971,2358.0,426709.0,Australia,180.9622561,89.4,3.9,100.0,100.0,82.3,4731.9433149999995,0.938
Baden-Wurttemberg,33912,0.953,35752.0,11069533.0,Germany,309.6199653,75.3,3.4,99.3,99.0,80.4,4628.769759000001,0.9390000000000001
Baleares,1982,0.862,4992.0,1149460.0,Spain,230.26041669999998,79.6,2.9,99.8,100.0,82.45,2316.2175859999998,0.893
Bayern,45665,0.9470000000000001,70552.0,13076721.0,Germany,185.34869319999999,75.3,3.4,99.3,99.0,80.4,4628.769759000001,0.9390000000000001
Beijing,593,0.894,16800.0,19612368.0,China,1167.402857,55.6,11.6,86.6,63.7,75.7,435.4081114,0.758
Berlin,6443,0.95,892.0,3644826.0,Germany,4086.1278030000003,75.3,3.4,99.3,99.0,80.4,4628.769759000001,0.9390000000000001
Brandenburg,3197,0.914,29479.0,2511917.0,Germany,85.21038706,75.3,3.4,99.3,99.0,80.4,4628.769759000001,0.9390000000000001
Bremen,1167,0.951,419.0,682986.0,Germany,1630.038186,75.3,3.4,99.3,99.0,80.4,4628.769759000001,0.9390000000000001
Valencia,10850,0.882,23255.0,5003769.0,Spain,215.16959790000004,79.6,2.9,99.8,100.0,82.45,2316.2175859999998,0.893
Basilicata,390,0.853,9996.0,562869.0,Italy,56.30942377,69.0,3.0,99.5,99.6,82.3,2823.203504,0.883
Calabria,1151,0.8420000000000001,15081.0,1947131.0,Italy,129.1115311,69.0,3.0,99.5,99.6,82.3,2823.203504,0.883
Canary Islands,2284,0.9209999999999999,7447.0,2153389.0,Spain,289.1619444,79.6,2.9,99.8,100.0,82.45,2316.2175859999998,0.893
